"name","link"
"Audi R8 5.2 V10 coupe (Petrol) - Rs. 1,87,52,000","http://carzoom.in/car-specification/audi-r8-5-2-v10-coupe-petrol/"
"Audi R8 5.2 V10 spyder (Petrol) - Rs. 2,06,07,000","http://carzoom.in/car-specification/audi-r8-5-2-v10-spyder-petrol/"
"Audi R8 5.2 V10 Plus (Petrol) - Rs. 2,17,36,000","http://carzoom.in/car-specification/audi-r8-5-2-v10-plus-petrol/"
"Audi RS5 Coupe (Petrol) - Rs. 1,01,27,000","http://carzoom.in/car-specification/audi-rs5-coupe/"
"Audi RS6 Avant - Rs. 1,35,00,000","http://carzoom.in/car-specification/audi-rs6-avant/"
"Audi RS7 Sportback (Petrol) - Rs. 1,40,00,000","http://carzoom.in/car-specification/audi-rs7-sportback/"
"Audi S6 4.0 TFSI (Petrol) - Rs. 89,95,000","http://carzoom.in/car-specification/audi-s6-4-0-tfsi-petrol/"
"Audi TT 45 TFSI (Petrol) - Rs. 60,34,000","http://carzoom.in/car-specification/audi-tt-45-tfsi-petrol/"
"Bentley Continental Flying Spur W12 (Petrol) - Rs. 3,10,00,000","http://carzoom.in/car-specification/bentley-continental-flying-spur-w12-petrol/"
"Bentley Continental GT (Petrol) - Rs. 1,87,00,000","http://carzoom.in/car-specification/bentley-continental-gt-petrol/"
"Bentley Continental GTC Convertible (Petrol) - Rs. 2,10,00,000","http://carzoom.in/car-specification/bentley-continental-gtc-convertible-petrol/"
"Bentley Mulsanne V8 (Petrol) - Rs. 2,69,00,000","http://carzoom.in/car-specification/bentley-mulsanne-v8-petrol/"
"BMW 1 Series - Rs. 20,00,000","http://carzoom.in/car-specification/bmw-1-series-2/"
"BMW 3 Series 320d (Diesel) - Rs. 33,40,000","http://carzoom.in/car-specification/bmw-3-series-320d-diesel/"
"BMW 3 Series 320d Sport Line (Diesel) - Rs. 36,90,000","http://carzoom.in/car-specification/bmw-3-series-320d-sport-line-diesel/"
"BMW 3 Series 320d Luxury Line (Diesel) - Rs. 36,90,000","http://carzoom.in/car-specification/bmw-3-series-320d-luxury-line-diesel/"
"BMW 3 Series 328i Sport Line (Petrol) - Rs. 42,45,000","http://carzoom.in/car-specification/bmw-3-series-328i-sport-line-petrol/"
"BMW 3 Series GT 320d Sport Line(Diesel) - Rs. 39,90,000","http://carzoom.in/car-specification/bmw-3-series-gt-320d-sport-linediesel/"
"BMW 3 Series GT 320d GT Luxury Line (Diesel) - Rs. 42,75,000","http://carzoom.in/car-specification/bmw-3-series-gt-320d-gt-luxury-line-diesel/"
"BMW 5 Series 520 Luxury Line (Diesel) - Rs. 48,90,000","http://carzoom.in/car-specification/bmw-5-series-520i-petrol/"
"BMW 5 Series 520d Modern Line (Diesel) - Rs. 48,90,000","http://carzoom.in/car-specification/bmw-5-series-520d-2-0-diesel/"
"BMW 5 Series 525d Luxury Plus (Petrol) - Rs. 54,20,000","http://carzoom.in/car-specification/bmw-5-series-525d-3-0-petrol/"
"BMW 5 Series 530d Sport (Diesel) - Rs. 58,25,000","http://carzoom.in/car-specification/bmw-5-series-530d-3-0-diesel/"
"BMW 5 Series GT 530d LE (Diesel) - Rs. 88,70,000","http://carzoom.in/car-specification/bmw-5-series-gt-530d-le-diesel/"
"BMW 6 Series Gran Coupe 640d (Diesel) - Rs. 1,14,90,000","http://carzoom.in/car-specification/bmw-6-series-gran-coupe-640d-diesel/"
"BMW 6 Series 640d Design Pure Experience(Diesel) - Rs. 1,21,90,000","http://carzoom.in/car-specification/bmw-6-series-640d-design-pure-experiencediesel/"
"BMW 7 Series 730Ld (Diesel) - Rs. 1,02,90,000","http://carzoom.in/car-specification/bmw-7-series-730ld-diesel/"
"BMW Active Hybrid 7L (Petrol) - Rs. 1,35,00,000","http://carzoom.in/car-specification/bmw-active-hybrid-7l-petrol/"
"BMW 7 Series 750Li (Petrol) - Rs. 1,39,99,000","http://carzoom.in/car-specification/bmw-7-series-750li-petrol/"
"BMW 7 Series 760Li (Petrol) - Rs. 1,86,95,000","http://carzoom.in/car-specification/bmw-7-series-760li-petrol/"
"BMW i8 (Petrol) - Rs. 2,29,00,000","http://carzoom.in/car-specification/bmw-i8-petrol/"
"BMW M3 Sedan (Petrol) - Rs. 1,19,80,000","http://carzoom.in/car-specification/bmw-m3-sedan-petrol/"
"BMW M4 Coupe (Petrol) - Rs. 1,21,80,000","http://carzoom.in/car-specification/bmw-m4-coupe-petrol/"
"BMW M5 Sedan (Petrol) - Rs. 1,17,00,000","http://carzoom.in/car-specification/bmw-m5-sedan-petrol/"
"BMW M6 Gran Coupe (Petrol) - Rs. 1,75,00,000","http://carzoom.in/car-specification/bmw-m6-gran-coupe-petrol/"
"BMW X1 sDrive20d (Diesel) - Rs. 30,75,000","http://carzoom.in/car-specification/bmw-x1-sdrive20d/"
"BMW X1 sDrive 20d xLine (Diesel) - Rs. 36,00,000","http://carzoom.in/car-specification/bmw-x1-sdrive-20d-xline/"
"BMW X1 sDrive 20d Sportline (Diesel) - Rs. 36,00,000","http://carzoom.in/car-specification/bmw-x1-sdrive-20d-sportline/"
"BMW X3 xDrive20d Expedition (Diesel) - Rs. 44,90,000","http://carzoom.in/car-specification/bmw-x3-xdrive20d-expedition-diesel/"
"BMW X3 xDrive20d xLine (Diesel) - Rs. 49,90,000","http://carzoom.in/car-specification/bmw-x3-xdrive20d-xline-diesel/"
"BMW X5 xDrive30d (Diesel) - Rs. 70,90,000","http://carzoom.in/car-specification/bmw-x5-xdrive30d-diesel/"
"BMW X6 xDrive 40d (Diesel) - Rs. 96,70,000","http://carzoom.in/car-specification/bmw-x6-xdrive-40d-diesel/"
"BMW X6 xDrive 50i (Petrol) - Rs. 97,00,000","http://carzoom.in/car-specification/bmw-x6-xdrive-50i-petrol/"
"BMW Z4 Roadster sDrive35i (Petrol) - Rs. 70,90,000","http://carzoom.in/car-specification/bmw-z4-roadster-sdrive35i-petrol/"
"BMW Z4 sDrive35i DPT (Petrol) - Rs. 71,90,000","http://carzoom.in/car-specification/bmw-z4-sdrive35i-dpt-petrol/"
"Chevrolet Captiva – LT/Xtreme - Rs. 23,54,229","http://carzoom.in/car-specification/chevrolet-captiva-ltxtreme/"
"Chevrolet Captiva – LTZ (Diesel) - Rs. 25,67,901","http://carzoom.in/car-specification/chevrolet-captiva-ltz/"
"Chevrolet Cruze LT (Diesel) - Rs. 13,79,222","http://carzoom.in/car-specification/chevrolet-cruze-lt-diesel-2/"
"Chevrolet Cruze LTZ (Diesel) - Rs. 15,28,362","http://carzoom.in/car-specification/chevrolet-cruze-ltz-diesel/"
"Chevrolet Cruze LTZ AT (Diesel) - Rs. 16,29,669","http://carzoom.in/car-specification/chevrolet-cruze-ltz-at-diesel/"
"Chevrolet Enjoy 1.4 LS 8 Seater (Petrol) - Rs. 6,11,960","http://carzoom.in/car-specification/chevrolet-enjoy-1-4-ls-8-str/"
"Chevrolet Enjoy 1.4 LS 7 Seater (Petrol) - Rs. 6,14,554","http://carzoom.in/car-specification/chevrolet-enjoy-1-4-ls-7-seater/"
"Chevrolet Enjoy 1.4 LT 7 Seater (Petrol) - Rs. 6,71,756","http://carzoom.in/car-specification/chevrolet-enjoy-1-4-lt-7-seater/"
"Chevrolet Enjoy 1.3 LS 8 Seater (Diesel) - Rs. 7,42,703","http://carzoom.in/car-specification/chevrolet-enjoy-1-3-ls-8-seater/"
"Chevrolet Enjoy 1.3 LS 7 Seater (Diesel) - Rs. 7,45,280","http://carzoom.in/car-specification/chevrolet-enjoy-1-3-ls-7-seater/"
"Chevrolet Enjoy 1.4 LTZ 7 Seater (Petrol) - Rs. 7,55,521","http://carzoom.in/car-specification/chevrolet-enjoy-1-4-ltz-7-seater/"
"Chevrolet Enjoy 1.3 LT 7 Seater (Diesel) - Rs. 7,91,009","http://carzoom.in/car-specification/chevrolet-enjoy-1-3-lt-7-seater/"
"Chevrolet Enjoy 1.3 LTZ 7 Seater (Diesel) - Rs. 8,64,053","http://carzoom.in/car-specification/chevrolet-enjoy-1-3-ltz-7-seater/"
"Chevrolet Sail 1.2 Base (Petrol) - Rs. 5,50,677","http://carzoom.in/car-specification/new-chevrolet-sail-1-2-base/"
"Chevrolet Sail 1.2 LS (Petrol) - Rs. 6,04,646","http://carzoom.in/car-specification/new-chevrolet-sail-1-2-ls/"
"Chevrolet Sail 1.2 LS ABS (Petrol) - Rs. 6,36,849","http://carzoom.in/car-specification/new-chevrolet-sail-1-2-ls-abs/"
"Chevrolet Sail 1.3 Base (Diesel) - Rs. 6,75,375","http://carzoom.in/car-specification/new-chevrolet-sail-1-3-base/"
"Chevrolet Sail 1.2 LT ABS (Petrol) - Rs. 6,85,011","http://carzoom.in/car-specification/new-chevrolet-sail-1-2-lt-abs/"
"Chevrolet Sail 1.3 LS (Diesel) - Rs. 7,15,601","http://carzoom.in/car-specification/new-chevrolet-sail-1-3-ls/"
"Chevrolet Sail 1.3 LS ABS (Diesel) - Rs. 7,46,557","http://carzoom.in/car-specification/new-chevrolet-sail-1-3-ls-abs/"
"Chevrolet Sail 1.3 LT ABS (Diesel) - Rs. 8,06,309","http://carzoom.in/car-specification/chevrolet-sail-1-3-lt-abs/"
"Chevrolet Sail Hatchback 1.2 Base (Petrol) - Rs. 4,67,689","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-2-petrol-base/"
"Chevrolet Sail Hatchback 1.2 LS (Petrol) - Rs. 5,16,997","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-2-petrol-ls/"
"Chevrolet Sail Hatchback 1.2 LS ABS (Petrol) - Rs. 5,39,858","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-2-petrol-ls-abs/"
"Chevrolet Sail Hatchback 1.3 Base (Diesel) - Rs. 5,69,490","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-3-diesel-base/"
"Chevrolet Sail Hatchback 1.2 LT ABS (Petrol) - Rs. 6,09,671","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-2-petrol-lt-abs/"
"Chevrolet Sail Hatchback 1.3 LS (Diesel) - Rs. 6,21,527","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-3diesel-ls/"
"Chevrolet Sail Hatchback 1.3 LS ABS (Diesel) - Rs. 6,36,987","http://carzoom.in/car-specification/new-chevrolet-sail-u-va-1-3-diesel-ls-abs/"
"Chevrolet Sail Hatchback 1.3 LT ABS (Diesel) - Rs. 7,18,915","http://carzoom.in/car-specification/chevrolet-sail-u-va-1-3-diesel-lt-abs/"
"Chevrolet Spark 1.0 (Petrol) - Rs. 3,44,710","http://carzoom.in/car-specification/chevrolet-spark-1-0-petrol/"
"Chevrolet Spark LS 1.0 (Petrol) - Rs. 3,71,218","http://carzoom.in/car-specification/chevrolet-spark-ls-1-0-petrol/"
"Chevrolet Spark LT 1.0 (Petrol) - Rs. 3,99,673","http://carzoom.in/car-specification/chevrolet-spark-lt-1-0-petrol/"
"Chevrolet Tavera Neo 3 10 Seats BSIII (Diesel) - Rs. 7,27,353","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-10-seats-bsiii-diesel/"
"Chevrolet Tavera Neo 3 Max-10 STR BS-III (Diesel) - Rs. 8,12,350","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-max-10-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 Max-7 STR BS-III (Diesel) - Rs. 8,24,884","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-max-7-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 LS-10 STR BS-III (Diesel) - Rs. 8,88,112","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-ls-10-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 LS-7 STR BS-III (Diesel) - Rs. 8,92,980","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-ls-7-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 LS-7(C) STR BS-III (Diesel) - Rs. 9,03,575","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-ls-7c-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 LT-9 STR BS-III (Diesel) - Rs. 9,94,213","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-lt-9-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 LT-8 STR BS-III (Diesel) - Rs. 10,37,145","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-lt-8-str-bs-iii-diesel/"
"Chevrolet Tavera Neo 3 LT-7(C) STR BS-III (Diesel) - Rs. 10,61,859","http://carzoom.in/car-specification/chevrolet-tavera-neo-3-lt-7c-str-bs-iii-diesel/"
"New Chevrolet Beat PS (Petrol) - Rs. 4,20,923","http://carzoom.in/car-specification/new-chevrolet-beat-ps-petrol/"
"New Chevrolet Beat LS (Petrol) - Rs. 4,47,915","http://carzoom.in/car-specification/new-chevrolet-beat-ls-petrol/"
"New Chevrolet Beat LS (LPG) - Rs. 4,52,923","http://carzoom.in/car-specification/new-chevrolet-beat-ls-lpg/"
"New Chevrolet Beat LT (Petrol) - Rs. 4,90,672","http://carzoom.in/car-specification/new-chevrolet-beat-lt-petrol/"
"New Chevrolet Beat LT (LPG) - Rs. 4,99,768","http://carzoom.in/car-specification/new-chevrolet-beat-lt-lpg/"
"New Chevrolet Beat PS (Diesel) - Rs. 5,06,470","http://carzoom.in/car-specification/new-chevrolet-beat-ps-diesel/"
"New Chevrolet Beat LS (Diesel) - Rs. 5,35,445","http://carzoom.in/car-specification/new-chevrolet-beat-ls-diesel/"
"New Chevrolet Beat LT Opt (Petrol) - Rs. 5,42,290","http://carzoom.in/car-specification/new-chevrolet-beat-lt-opt-petrol/"
"New Chevrolet Beat LT (Diesel) - Rs. 5,78,641","http://carzoom.in/car-specification/new-chevrolet-beat-lt-diesel/"
"New Chevrolet Beat LT Opt (Diesel) - Rs. 6,29,649","http://carzoom.in/car-specification/new-chevrolet-beat-lt-opt-diesel/"
"Datsun GO D (Petrol) - Rs. 3,12,270","http://carzoom.in/car-specification/datsun-go-d-petrol/"
"Datsun GO D1 (Petrol) - Rs. 3,14,770","http://carzoom.in/car-specification/datsun-go-d1-petrol/"
